time,close,high,low,open,volumefrom,volumeto
1496966400,279.03,292.56,253.44,270.26,7114.22,1951559.68
1497052800,321.01,322.51,275.92,279.03,15234.11,4522185.98
1497139200,324.01,339.57,299.63,321.01,14589.8,4637454.43
1497225600,301.93,336.74,250.99,324.01,26150.32,7871479.61
1497312000,364.42,380.54,301.18,301.93,18402.54,6172146.18
1497398400,381.92,453.05,324.5,364.42,38060.77,14912336.13
1497484800,394.77,409.47,275.82,381.92,44899.1,15027992.3
1497571200,381.03,404.77,359.61,394.77,22099.63,8306660.92
1497657600,394.21,405.39,355.45,381.03,17049.01,6418545.77
1497744000,369.01,398.18,361.92,394.21,12374.14,4657910.9
1497830400,401.68,406.69,338.08,369.01,9561.63,3655011.76
1497916800,410.68,439.35,397.07,401.68,21056.65,8722119.26
1498003200,381.34,417.69,346.33,410.68,15568.27,5931988.99
1498089600,379.23,403.72,363.02,381.34,9551.87,3607029.71
1498176000,374.68,409.37,373.06,379.23,4787.2,1828336.13
1498262400,351.35,389.82,338.39,374.68,6995.48,2505405.01
1498348800,313.92,351.9,285.81,351.35,12472.72,3997530.27
1498435200,295.92,333.53,245.19,313.92,24716.06,6909838.78
1498521600,335.58,360.96,266.05,295.92,29796.61,8941235.06
1498608000,336.91,344.2,312.99,335.58,15664.18,5089252.99
1498694400,313.57,343.23,304.89,336.91,20561.41,6502176.54
1498780800,291.72,317.77,287.83,313.57,16098.94,4864190.13
1498867200,275.39,297.95,258.71,291.72,14699.87,4093734.4
1498953600,293.63,297.96,258.67,275.39,15320.69,4254616.8
1499040000,288.91,294.79,276.5,293.63,14402.17,4099334.72
1499126400,281.63,298.35,274.54,288.91,16475.75,4753916.81
1499212800,282.44,286.92,266.95,281.63,13632.49,3741289.45
1499299200,285.91,295.12,273.23,282.44,16248.95,4600715.42
1499385600,248.06,290.08,246.16,285.91,19201.23,5082300.47
1499472000,249.8,250.43,231.26,248.06,14701.98,3571899.46
1499558400,241.43,262.78,241.24,249.8,11413.37,2882997.34
1499644800,196.09,242.65,179.5,241.43,28207.63,5966669.72
1499731200,176.76,206.56,167.65,196.09,37732.08,6856401
1499817600,211.4,221.06,163.3,176.76,23575.39,4570202.81
1499904000,194.59,219.84,184.87,211.4,12971.98,2569022.92
1499990400,177.06,196.94,165.57,194.59,12612.42,2228795.35
1500076800,160.34,178.45,155.38,177.06,16273.67,2688992.22
1500163200,163.34,166.73,138.12,160.34,28764.18,4419206.12
1500249600,179.21,181.29,147.6,163.34,25405.79,4313454.66
1500336000,200.07,225.23,168.64,179.21,35852.55,7066793.25
1500422400,181.23,218.31,177.44,200.07,27161.07,5436517.85
1500508800,209.58,217.88,180.76,181.23,31181.39,6369271.74
1500595200,203.65,217,197.47,209.58,17716.53,3724598.28
1500681600,218.97,235.76,200.38,203.65,12089.07,2571824.38
1500768000,211.88,227.85,207.77,218.97,22565.53,4906286.94
1500854400,210.78,213.95,207.63,211.88,15813.91,3331000.03
1500940800,186.7,211.87,176.61,210.78,32491.07,6188593.55
1501027200,189.18,190.42,174.85,186.7,28620.33,5243696.18
1501113600,186.74,192.42,181.87,189.18,18675.01,3495017.87
1501200000,175.5,190.76,172.26,186.74,22557.18,4026018.93
1501286400,186.02,187.61,165.56,175.5,19979.85,3458582.11
1501372800,173.54,186.28,172.71,186.02,16613.83,2970981.47
1501459200,172.29,177.55,166.91,173.54,18628.38,3186139.81
1501545600,189.89,194.7,170.8,172.29,29801.99,5478319.52
1501632000,188.7,210.37,182.36,189.89,26636.88,5039904.57
1501718400,187.94,191.32,182.63,188.7,16533.09,3099793.38
1501804800,186.64,190.89,184.24,187.94,16132.44,3027654.94
1501891200,205.53,213.98,184.23,186.64,33823.59,6739992.78
1501977600,208.12,214.04,200.24,205.53,19593.18,4086326.78
1502064000,208.4,211.34,204.17,208.12,23843.79,4952662.61
1502150400,247.89,259.03,207.02,208.4,43816.57,10043926.36
1502236800,241.86,261.71,225.03,247.89,45976.95,11215398.18
1502323200,231.75,248.45,231.28,241.86,24706.97,5958112.96
1502409600,235.3,236.28,225.34,231.75,20969.09,4839779.26
1502496000,223.23,236.78,217.82,235.3,22945.57,5226898.88
1502582400,213.47,225.25,195.06,223.23,22824.67,4846320.51
1502668800,210.69,217.99,202.36,213.47,22369.53,4716323.46
1502755200,212.03,213.43,198.39,210.69,27162.74,5574675.16
1502841600,217.24,219.14,205.1,212.03,18686.93,3979828.16
1502928000,208.9,218.24,205.61,217.24,20932.23,4449648.1
1503014400,200.01,211.81,199.1,208.9,22194.89,4565949.13
1503100800,232.81,247.4,190.95,200.01,49044.8,10726071.81
1503187200,240.05,252.51,224,232.81,36252.03,8587936.38
1503273600,237.28,258.1,230.04,240.05,37285.22,9173034.91
1503360000,226.03,239.74,207.15,237.28,30112.68,6733539.35
1503446400,227.68,239.93,223.46,226.03,25447.18,5849681.22
1503532800,227.48,231.87,223.91,227.68,14929.44,3399462.18
1503619200,237.9,256.86,227.05,227.48,31403.25,7558279.41
1503705600,299.63,300.11,235.75,237.9,66821.42,18218046.53
1503792000,273.78,299.85,265,299.63,32940.94,9147522
1503878400,276.17,281.91,254.91,273.78,36838.33,9977445.7
1503964800,270.04,277.19,264.47,276.17,28836.61,7813900.57
1504051200,277.45,281.3,268.32,270.04,22638.67,6196488.43
